Common_names,Clade1,Clade2,Family,Genus,Species,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,Taxon group,Prey size
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,cruciger,-0.004202948,0.5022827,-0.1363088,-0.1769049,-0.01873758,-0.3339542,0.003136266,-0.3364315,0.02745785,-0.3310133,0.152393,-0.1677925,0.004306839,0.5028725,-0.01443302,0.2634576,-0.01361155,0.07748355,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,obliquidens,-0.005554836,0.5204226,-0.1686752,-0.1859799,-0.1196304,-0.2971686,0.00899597,-0.359183,0.1264656,-0.2933648,0.1671621,-0.1785191,0.001889754,0.5222514,-0.005039736,0.197738,-0.005613219,0.07380337,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,australis,-0.009630944,0.5465738,-0.1773302,-0.1566702,-0.1300803,-0.2993969,0.001782263,-0.3610444,0.1384255,-0.2893384,0.174564,-0.1547457,0.001159174,0.5456827,0.000758118,0.1192701,0.00035241,0.04966896,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Orcinus,orca,-0.0126746,0.5161544,-0.1970235,-0.1485121,-0.09680234,-0.3188859,-0.001710588,-0.3686134,0.1083447,-0.3074747,0.1928021,-0.1528156,-0.000399829,0.5185916,0.005231406,0.2065203,0.002232566,0.05503543,Odontoceti,large
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Peponocephala,electra,-0.012559,0.5754564,-0.2209413,-0.1329745,-0.1280462,-0.2801951,-0.003581989,-0.2430481,0.1356121,-0.2838756,0.2216051,-0.134693,-0.000154365,0.5763227,0.004133673,-0.01439726,0.003932048,-0.06259554,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Pseudorca,crassidens,-0.01079327,0.5466042,-0.1782519,-0.1450813,-0.08479802,-0.321547,-0.00103658,-0.3485669,0.09452262,-0.3188472,0.1790581,-0.1501209,-0.001898047,0.5489708,0.001511303,0.1248066,0.001685868,0.06378175,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Sousa,teuszii,-0.008584457,0.5365277,-0.1854755,-0.1533648,-0.1114819,-0.3082172,0.008077047,-0.3652008,0.1175256,-0.3078982,0.1810272,-0.1445684,0.002579441,0.5372135,-0.00061752,0.1613424,-0.003049851,0.04416564,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Sousa,sahulensis,-0.005963596,0.5630082,-0.1900473,-0.1329554,-0.1270825,-0.2976929,0.005703777,-0.3480506,0.1330456,-0.2838661,0.1850194,-0.1209861,0.004097626,0.5661186,-0.003987156,0.0821933,-0.000785879,-0.02776896,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Sousa,plumbea,-0.005503486,0.4829306,-0.1766786,-0.18033,-0.1211485,-0.3082621,-0.000476718,-0.3669474,0.1233592,-0.2983913,0.177562,-0.1541379,0.001304196,0.4852356,-0.000411141,0.2819747,0.001993009,0.05792776,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Sotalia,,-0.004954831,0.4964776,-0.1686801,-0.1799084,-0.1029478,-0.3156813,7.94E-05,-0.3606455,0.1132918,-0.3093068,0.1617576,-0.1552091,0.003340104,0.4987854,-0.002176862,0.265463,0.000290602,0.0600251,Odontoceti,small
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Stenella,frontalis,-0.07344657,0.5022289,-0.1771272,-0.2071504,-0.04329122,-0.3093875,0.001357011,-0.3105001,0.05010179,-0.307468,0.1840468,-0.1933638,0.06944222,0.4961961,-0.00611547,0.2629307,-0.004967412,0.06651385,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Stenella,clymene,-0.01628529,0.536931,-0.2077033,-0.1805917,-0.1112662,-0.3519358,0.006367721,-0.2173762,0.1021481,-0.3458821,0.1997356,-0.1739203,-0.002611664,0.5371793,0.014171,0.1128565,0.0154441,0.08273928,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Stenella,attenuata,0.002137014,0.5259306,-0.1832372,-0.2669914,-0.1251794,-0.2921524,0.001415157,-0.2140069,0.1314695,-0.2745896,0.1777985,-0.2192509,0.008961408,0.5276581,-0.01071412,0.2100574,-0.002650869,0.003345106,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Stenella,longirostris,-0.007315857,0.5385168,-0.1821435,-0.1886654,-0.1370644,-0.3305465,0.00123222,-0.193795,0.1435712,-0.3309596,0.1823213,-0.1788053,0.000504939,0.5407726,-0.000832383,0.1829881,-0.000273444,-0.03950569,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Stenella,coeruleoalba,-0.006401935,0.5245531,-0.1491284,-0.2463598,-0.09747552,-0.2777057,0.000689193,-0.2220264,0.1049231,-0.2761227,0.1496884,-0.2416133,-0.000673589,0.5245709,-0.001759167,0.2591516,0.00013797,-0.04444772,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Steno,bredanensis,-0.01717343,0.5777668,-0.2201926,-0.1177187,-0.1244716,-0.2754281,0.002049561,-0.2608798,0.1284833,-0.2681611,0.2126711,-0.1104197,0.009928345,0.578411,0.001509046,-0.01999589,0.007196269,-0.1035745,Odontoceti,middle
